Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,(주)퍼플아카데미,데이터분석가 신입/경력 채용,"['취업축하금', '데이터분석가 신입/경력 채용', '', '~ 04/06(일)', '점핏에서 지원', '서울전체', '신입·경력', '대졸↑', '정규직', '등록일 25/03/07', '관심기업 등록', '']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50187106&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,한국호텔업협회,한국호텔업협회 대외협력팀 팀원(동향조사 및데이터분석) 채용,"['연봉상승률 10% 이상', '한국호텔업협회 대외협력팀 팀원(동향조사 및데이터분석) 채용', '', '채용시', '입사지원', '서울중구', '경력무관', '초대졸↑', '정규직', '수정일 25/03/25', '관심기업 등록', '']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50327002&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,(주)그루넷,데이터분석/Python/JAVA/SAS 인재 채용,"['장기근속 포상', '데이터분석/Python/JAVA/SAS 인재 채용', '', '~ 04/19(토)', '입사지원', '서울강남구', '신입·경력', '대졸↑', '정규직', '등록일 25/03/20', '관심기업 등록', '']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50294794&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,(주)라이브케어,[데이터분석가] 가축 생체데이터 분석 및 AI 개발 전,"['[데이터분석가] 가축 생체데이터 분석 및 AI 개발 전', '', '채용시', '입사지원', '서울강남구', '신입', '학력무관', '정규직', '등록일 25/02/12', '관심기업 등록', '']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49979481&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,쿠팡(주),[쿠팡로지스틱스서비스] 물류결함데이터분석담당자 (신입가능),"['재택근무', '[쿠팡로지스틱스서비스] 물류결함데이터분석담당자 (신입가능)', '', '채용시', '입사지원', '서울송파구', '경력3년↑', '대졸↑', '정규직', '수정일 25/03/21', '관심기업 등록', '', '쿠팡']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50090658&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,(주)지바이크,[공유모빌리티 No.1 지쿠] 전략마케팅팀데이터분석전문가 모집,"['시리즈B 투자유치', '[공유모빌리티 No.1 지쿠] 전략마케팅팀데이터분석전문가 모집', '', '~ 04/06(일)', '입사지원', '서울강남구', '경력3년↑', '대졸↑', '정규직', '등록일 25/02/05', '관심기업 등록', '']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49890333&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,넛지헬스케어(주),[넛지헬스케어]데이터분석가 - 석사/박사,"['급성장중', '[넛지헬스케어]데이터분석가 - 석사/박사', '', '~ 05/09(금)', '입사지원', '서울강남구', '경력무관', '석사↑', '정규직', '수정일 25/04/01', '관심기업 등록', '', '링커리어']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202924&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,넛지헬스케어(주),[넛지헬스케어]데이터분석담당 산업기능요원 (병역특례),"['급성장중', '[넛지헬스케어]데이터분석담당 산업기능요원 (병역특례)', '', '~ 05/09(금)', '입사지원', '서울강남구', '경력무관', '학력무관', '산업기능요원·현역', '수정일 25/04/01', '관심기업 등록', '', '링커리어']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202943&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,(주)전북은행,데이터분석가 경력직 모집,"['평균연봉 상위 10%', '데이터분석가 경력직 모집', '', '~ 04/06(일)', '입사지원', '전북전주시 덕진구', '경력10년↑', '대졸↑', '계약직', '등록일 25/03/24', '관심기업 등록', '', 'JB금융그룹']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50320168&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,닐슨아이큐서비스코리아(유),[데이터분석] Global Strategic Account Management팀,"['연봉상승률 10% 이상', '[데이터분석] Global Strategic Account Management팀', '', '~ 04/11(금)', '입사지원', '서울중구', '경력무관', '대졸↑', '계약직', '등록일 25/02/10', '관심기업 등록', '']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49965174&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
